Date Time,Open,High,Low,Close,Volume,,,
2012-11-23 15:30:00,5647.3,5647.5,5597.2,5633.35,4279875,,,
2012-11-26 15:30:00,5651.1,5654.9,5629.75,5642.75,3502200,,,
2012-11-27 15:30:00,5658,5738,5656.5,5732.05,6379125,,,
2012-11-29 15:30:00,5734.6,5837.8,5734.6,5828.05,7269650,,,
2012-11-30 15:30:00,5891.1,5926,5868.05,5909.05,5919775,,,
2012-12-03 15:30:00,5915.35,5933,5888,5911.6,3564600,,,
2012-12-04 15:30:00,5901,5928,5892,5923.65,3264000,,,
2012-12-05 15:30:00,5945.3,5958.85,5928.1,5940.45,3660825,,,
2012-12-06 15:30:00,5953,5984.65,5870.1,5970.65,6947350,,,
2012-12-07 15:30:00,5979.95,5979.95,5921.75,5944.9,5242425,,,
2012-12-10 15:30:00,5944,5955,5923.8,5942.45,2911525,,,
2012-12-11 15:30:00,5957.35,6002.85,5897.55,5928.4,6932550,,,
2012-12-12 15:30:00,5940.55,5963.2,5915.65,5928.25,5384975,,,
2012-12-13 15:30:00,5937.45,5939,5865.35,5876.45,5310175,,,
2012-12-14 15:30:00,5884.95,5922.8,5871.9,5914.9,4948675,,,
2012-12-17 15:30:00,5902.7,5907.7,5881.1,5889.35,2719525,,,
2012-12-18 15:30:00,5904,5950,5838.05,5928.9,7025975,,,
2012-12-19 15:30:00,5951.1,5961.4,5935.1,5946.9,3201800,,,
2012-12-20 15:30:00,5940.05,5949.7,5895.05,5931.15,5533475,,,
2012-12-21 15:30:00,5900,5905,5847.4,5853.4,7012750,,,
2012-12-24 15:30:00,5871.35,5877.55,5853.5,5865.55,3579375,,,
2012-12-26 15:30:00,5871,5926.45,5864.5,5913.75,4595400,,,
2012-12-27 15:30:00,5925.6,5931.55,5867.6,5874.2,5467625,,,
2012-12-28 15:30:00,5932.5,5960,5930,5954.55,3114200,,,
2012-12-31 15:30:00,5979,5979,5942.25,5951.75,1908075,,,
2013-01-01 15:30:00,5958,6017.45,5958,6007.5,2963975,,,
2013-01-02 15:30:00,6007.5,6049.9,6007.5,6035.65,3701250,,,
2013-01-03 15:30:00,6058.15,6058.15,6026.6,6039.55,2630400,,,
2013-01-04 15:30:00,6031.05,6052.5,6012.5,6048,3053050,,,
2013-01-07 15:30:00,6052.5,6059,6013.65,6023.7,2665325,,,
2013-01-08 15:30:00,6015.05,6050.4,5993,6043.3,4181600,,,
2013-01-09 15:30:00,6040,6048.6,5981.35,5998.75,4259350,,,
2013-01-10 15:30:00,6018,6034,5983.75,6003.6,4211650,,,
2013-01-11 15:30:00,6027.25,6038,5969.15,5977.3,4746500,,,
2013-01-14 15:30:00,5988,6067.25,5985.1,6057.5,5173625,,,
2013-01-15 15:30:00,6059,6096,6036.55,6081.3,4583600,,,
2013-01-16 15:30:00,6069.4,6075.55,6011.1,6019.25,4621450,,,
2013-01-17 15:30:00,6025,6072.45,6000.1,6054.45,5301125,,,
2013-01-18 15:30:00,6075,6094.5,6060.15,6074.85,3380575,,,
2013-01-21 15:30:00,6089.85,6107.5,6070.5,6096.45,3314525,,,
2013-01-22 15:30:00,6101.3,6109,6054.5,6061.55,3644075,,,
2013-01-23 15:30:00,6068,6079.95,6028.2,6069.15,4203125,,,
2013-01-24 15:30:00,6064.85,6068.45,6009.85,6019.75,5142825,,,
2013-01-25 15:30:00,6028.25,6082.55,6014.9,6073.7,4721625,,,
2013-01-28 15:30:00,6080.25,6091.3,6063.5,6077.2,3244550,,,
2013-01-29 15:30:00,6071,6120,6041.2,6049.4,6603300,,,
2013-01-30 15:30:00,6072,6076.15,6047.85,6060.3,3804000,,,
2013-01-31 15:30:00,6067.8,6067.8,6027.4,6037.25,5192550,,,
2013-02-01 15:30:00,6068.95,6078,6026.6,6036.1,3454000,,,
2013-02-04 15:30:00,6050,6063.75,5990.3,5996.3,3994775,,,
2013-02-05 15:30:00,5969.8,5993.1,5964.25,5974.45,3801700,,,
2013-02-06 15:30:00,5988.25,5993.65,5966.2,5972.9,2799125,,,
2013-02-07 15:30:00,5955,5992.45,5940.1,5961.1,4628000,,,
2013-02-08 15:30:00,5960,5973.45,5900,5921.8,4344575,,,
2013-02-11 15:30:00,5915,5937,5905,5921.35,3026200,,,
2013-02-12 15:30:00,5911.55,5947.25,5903,5941.4,3272925,,,
2013-02-13 15:30:00,5948,5979.25,5926.65,5936.55,4194900,,,
2013-02-14 15:30:00,5941.9,5950.2,5889.05,5900.2,4491700,,,
2013-02-15 15:30:00,5889.7,5909,5858.65,5892.65,5195500,,,
2013-02-18 15:30:00,5895,5921.25,5884.15,5904.6,2626125,,,
2013-02-19 15:30:00,5906.5,5961,5888.2,5953.4,3893350,,,
2013-02-20 15:30:00,5970.25,5974.4,5948.1,5963.85,3314375,,,
2013-02-21 15:30:00,5929,5939,5846.6,5853.45,6336675,,,
2013-02-22 15:30:00,5825.55,5883.25,5825,5853.95,4137300,,,
2013-02-25 15:30:00,5868.75,5899,5822,5857.8,6156850,,,
2013-02-26 15:30:00,5832.6,5838,5755.25,5767,8027475,,,
2013-02-27 15:30:00,5781.15,5817.45,5748.8,5797.9,5932900,,,
2013-02-28 15:30:00,5839.7,5842.2,5673.9,5692.45,10436025,,,
2013-03-01 15:30:00,5718.95,5757.4,5703.25,5729.95,5834325,,,
2013-03-04 15:30:00,5718.4,5725,5678.1,5716.85,4468875,,,
2013-03-05 15:30:00,5732.55,5808.4,5729.75,5802.8,5032275,,,
2013-03-06 15:30:00,5821.55,5849.8,5813.65,5841.35,4037300,,,
2013-03-07 15:30:00,5830,5903.35,5816.15,5889.4,4945925,,,
2013-03-08 15:30:00,5908,5981.55,5901,5968.3,6362625,,,
2013-03-11 15:30:00,5967.65,5990.1,5948,5957.4,4231775,,,
2013-03-12 15:30:00,5962.4,5975,5914.1,5937.25,5306775,,,
2013-03-13 15:30:00,5909.8,5916,5858,5867.75,4579850,,,
